,count,unique,top,freq,mean,std,min,25%,50%,75%,max
id,4955,28,"5,02E+11",701,,,,,,,
safra_abertura,4955.0,,,,201681.84520686176,228.8834874832245,201008.0,201602.0,201710.0,201901.0,201910.0
cidade,4955,10,SAO PAULO             ,3603,,,,,,,
estado,4955,2,SP ,4687,,,,,,,
idade,4955.0,,,,34.115438950554996,6.803724562987849,20.0,28.0,33.0,37.0,53.0
sexo,4955,2,F,2609,,,,,,,
limite_total,4955.0,,,,8776.958224016145,10339.737837250368,300.0,3650.0,4700.0,7500.0,40000.0
limite_disp,4955.0,,,,6588.513622603431,10079.93398180161,0.0,1164.5,2851.0,6089.5,50000.0
data,4955,403,10.08.2019,32,,,,,,,
valor,4955,2710,50,93,,,,,,,
grupo_estabelecimento,4955,22,SERVI‚O,1782,,,,,,,
cidade_estabelecimento,4936,140,SAO PAULO,3151,,,,,,,
pais_estabelecimento,4937,9,BR,4912,,,,,,,
